2021-08-31 15:52:25,903 INFO: {'Rotation': 0.0000, 'Motors': ('PWR','PWR','PWR','PWR'), 'Status': 'No Data Recieved.'}
2021-08-31 15:53:50,626 INFO: {'Rotation': 118.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:50,696 INFO: {'Rotation': 120.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:50,744 INFO: {'Rotation': 122.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:50,812 INFO: {'Rotation': 124.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:50,862 INFO: {'Rotation': 126.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:50,930 INFO: {'Rotation': 128.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:50,980 INFO: {'Rotation': 130.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:51,047 INFO: {'Rotation': 132.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:51,114 INFO: {'Rotation': 134.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:51,181 INFO: {'Rotation': 136.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:51,231 INFO: {'Rotation': 138.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:51,299 INFO: {'Rotation': 140.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:51,366 INFO: {'Rotation': 142.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:51,417 INFO: {'Rotation': 144.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:51,483 INFO: {'Rotation': 146.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:51,550 INFO: {'Rotation': 148.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:51,616 INFO: {'Rotation': 150.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:51,666 INFO: {'Rotation': 152.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:51,733 INFO: {'Rotation': 154.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:51,799 INFO: {'Rotation': 156.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:51,849 INFO: {'Rotation': 158.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:51,915 INFO: {'Rotation': 160.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:51,983 INFO: {'Rotation': 162.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:52,033 INFO: {'Rotation': 164.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:52,099 INFO: {'Rotation': 166.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:52,167 INFO: {'Rotation': 168.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:52,234 INFO: {'Rotation': 170.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:52,295 INFO: {'Rotation': 172.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:52,351 INFO: {'Rotation': 174.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:52,418 INFO: {'Rotation': 176.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:52,469 INFO: {'Rotation': 178.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:52,538 INFO: {'Rotation': 180.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:52,604 INFO: {'Rotation': 180.0000, 'Motors': (-1.0,1.0,-1.0,1.0), 'Status': 'Running Test 2...'}
